truku	zh	en	fr	headword
Tayal knlbuan su!	哎呀！你真是個早起的人啊！	Oh my! What an early riser you are!	Oh la ! Ce que tu es matinal !	ML'BU (MLUBU?)
Ma mring kana dowriq su! Srsi binaw.	可是你的眼睛全是汗！那就擦一擦吧。	But your eyes are all full of sweat! Wipe them, then.	Mais tes yeux sont tout pleins de sueur ! Essuie les donc.	M'LING
Mring nanak ka shuriq lukus mu.	弄濕我衣服的只是汗水而已。	It is only sweat that wets my clothes.	Ce n'est que la sueur qui mouille mes habits.	M'LING
Luun mu ka pila nii.	這筆錢，我要（我想）把它存起來。	This money — I am going to (I want to) set it aside.	Cet argent je vais (je veux) le mettre de côté.	L'LU
Mnlu ku dnka sadu mu shkawas, kika hiya da.	去年我把薪水的一半存起來，就是它！（就是所說的那個。）	Last year I was saving half my salary — there it is! (That is the one being talked about).	L'an passé j'économisais la moitié de mon salaire, le voilà !(C'est celui là, dont on parle).	L'LU
Nluan mu seuxal ka pila kiya.	那筆錢是我以前的積蓄。	That money there, those are my savings from long ago.	Cet argent là ce sont mes économies d'autrefois.	L'LU
Aji su bsukan hu … Ini! (vl. Aji!) Mnlux ku bi.	你該不會是醉了吧？…不！我完全清醒。	You wouldn't be drunk by any chance? … No! I am perfectly awake.	Tu ne serais pas ivre par hasard ? … Non ! Je suis parfaitement éveillé.	M'LUX (M'LUç)
Asi gnlux kana embahang.	以致於所有人聽到時都目瞪口呆（聽…	To such a point that all were open-mouthed on hearing it (listening...	A tel point que tous étaient bouche bée à l'entendre (écouter...	M'LUX (M'LUç)
Mha ku pnais trima baga mu hu?	我只是稍微洗一下手，對吧？	I am just going to give my hands a quick wash, right?	Je vais juste me laver un petit coup les mains, n'est ce pas ?	MNAIS
Pnais ta bi meudus babaw dxgal.	我們在世上只是短暫地活著。	We live only fleetingly on this earth.	Nous ne vivons que passagèrement sur la terre.	MNAIS
Maxal mngari.	十九。	Nineteen.	Dix neuf.	MANGALI
Mngari kmxalan.	九十。	Ninety.	Quatre-vingt-dix.	MANGALI
Qtaun mu pnmngari kana ka laqi.	我想以九個一組的方式見到所有的孩子。	I want to see (meet) all the children in groups of nine.	Je veux voir (rencontrer) tous les enfants par groupes de neuf.	MANGALI
Tgspat ka yaku ni, tgmngari ka isu.	我是第四個，你是第九個。	I am the fourth and you are the ninth.	Je suis le quatrième et tu es le neuvième.	MANGALI
Tama mu.	我的父親。	My father.	Mon père.	MO
Biqun mu.	我要給（我那要被給出去的東西）。	I will give (my object that is to be given).	Je donnerai (mon objet devant être donné).	MO
Ndaan mu.	我所經過的（路徑）。	That by which I have passed.	Ce par quoi je suis passé.	MO
Murung kari.	發誓（＝ 用力地（?）、莊嚴地（?）說出話語）。	To swear an oath (= to say words with force (?), with solemnity (?)).	Faire serment (= dire des paroles avec force (?), avec solennité (?)).	MOLONG
Tpruq msaang ni murung kari ka hiya.	他破口大罵並發誓，怒氣爆發。	He bursts out, ranting and swearing.	Il explose en vitupérant et en jurant.	MOLONG
Emphuqil su.	1）你將死去；2）你使（人）死（但在第二種意義中，通常需要一個表示動作的詞＝ Mpxoqel so Banan ＝ 你就是那個（＝ M）將使 Iban 死（＝ P，XOQEL）的人）。	1) You will die; 2) You cause (someone) to die (but in this second sense, a term for the action is generally required = Mpxoqel so Banan = You are the one (= M) who will make (= P) Iban die (XOQEL)).	1) Tu mourras ; 2) Tu fais mourir (mais dans ce deuxième sens, un terme de l'action est généralement nécessaire = Mpxoqel so Banan = Tu es celui (= M) qui va faire (= P) mourir (XOQEL) Ibanne).	MP
Empaa su manu? (vl. empaamanu su)	你將會變成什麼？（你是那個將變成什麼的人？）（或：mpamanu so）（註：MPA（M + P + A）三個成分依情況各有側重，但似乎總能以其固有的價值豐富整體。）	What will you become? (You are the one who will become what?). (var. mpamanu so) (n.b. Each of the three elements of MPA (M + P + A) predominates differently according to the case but always seems to enrich the whole with its own value).	Que deviendras tu ? (Tu es celui qui deviendra quoi ?).(nb. Chacun des trois éléments de MPA (M + P + A) prédomine différemment selon les cas mais semble toujours enrichir l'ensemble de sa valeur propre).	MPA
Yaku ka paru, msa ku.	我說：是我最大（那個大的人就是我！）。	I say: It is I who am great (the one who is great is me!).	Je dis : C'est moi qui suis grand (celui qui est grand c'est moi !).	MSA
Yaku ka paru, msa ka tama.	爸爸說：那個大的人就是我。	Papa says: The one who is great is me.	Papa dit : Celui qui est grand c'est moi.	MSA
Manu msa ka kari na.	他的話說：什麼？	His speech says: What?	Son parler dit : Quoi ?	MSA
Mkray bi brigan, msa ka kari dha.	這買（賣）起來很貴，他們的話這麼說（＝ 他們說這很貴）。	It is very expensive to buy (to sell), so their words say (= They say that it is very expensive).	C'est très cher à acheter (à vendre) dit ce qu'ils disent (=Ils disent que c'est très cher).	MSA
Mha ku sapah msa ka tama ksa.	你告訴他們：爸爸說：我要回家。	Tell them: Papa said: I am going home.	Dis leur : Papa a dit : Je vais à la maison.	MSA
Iyax bi kana, mnusa ku shiga.	你們全都來吧，我昨天說了（＝ 我昨天叫你們全都來！）。	Do come, all of you, I said yesterday (= I told you yesterday to all come!).	Venez bien tous, j'ai dit hier (= Je vous dit hier de venir tous !).	MSA
Mha ku qmpah ksa.	你告訴他們：我要去工作。	Tell them: I am going to work.	Dis leur : Je vais travailler.	MSA
Empaamanu ta ka ita mkksa ka dhiya.	他們彼此互相說：我們將會怎麼樣？（註：勿與 Mkksa ＝「流浪的」混淆，後者源自 KSA ＝ 走路。）	They say to one another: What is to become of us? (n.b. Not to be confused with: Mkksa = wandering, which comes from: KSA = to walk).	Ils se disent les uns les autres : Qu'allons nous devenir ?(nb. A ne pas confondre avec : Mkksa = errant, qui vient de : KSA = marcher).	MSA
Huya mu ksun.	我該怎麼做（該說什麼？該做什麼？）？	How should I behave (what to say? What to do?)?	Comment dois je me comporter (que dire ? Que faire ?) ?	MSA
Ga msdngux bi ntaqi, ini kla jiyax ka hiya.	至於他，他睡得像睡鼠一樣沉，他不急，也不覺得時間流逝。	As for him, he sleeps like a dormouse; he is in no hurry; he does not notice the time passing.	Lui, il dort comme un loir, il n'est pas pressé, il ne voit pas le temps passer.	MSDNGUX
Msuwil malu, msuwil naqih hiyi na ka tama mu.	我父親有時健康，有時生病。	Sometimes my father is in good health, sometimes he is ill.	Tantôt mon père est en bonne santé, tantôt il est malade.	MSUIL (MSUWIL)
Ga mmlux muda ka laqi mu.	我的孩子感冒了（＝ 得了流行病（?））。	My child has a cold (= is sick with the epidemic (?)).	Mon enfant a un rhume (= est malade de l'épidémie (?)).	MUDA
Tai mutaq ka laqi o, kika malu.	如果孩子能吐出來，那就好了。	If the child manages to vomit, that is good.	Si l'enfant arrive à vômir, c'est bon.	MUTAQ
Tayal bi ka utaq mu skeeman!	我昨晚吐得好厲害！	How much I threw up last night!	Ce que j'ai pu vômir la nuit dernière !	MUTAQ
Bbaraw bi muhing na ka dyamu.				MUXENG
… Amirika.	你們這些外國人（美國人（！！）），你們的鼻子很長。	You foreigners (Americans (!!)), you have a long nose.	Vous autres les étrangers (américains (!!)), vous avez un long nez.	MUXENG
Mha mrata.	去當兵。	To go (become) a soldier.	Aller soldat.	MXA
Mha nkan.	要去吃飯。	Is going to eat.	Va manger.	MXA
Mha ku sapah.	我要回家。	I am going home.	Je vais à la maison.	MXA
Pha bi tunux su ka kiya.	把那件事牢記在腦中。	Put that well into your head.	Mets toi bien cela dans la tête.	MXA
Pha bi lnglungan.	把那放進心裡＝好好記住！	Put that well into your heart = remember it well!	Mets bien cela dans ton coeur = souviens toi bien !	MXA
Ga mhing ka samaw da.	燈熄了 - 燈已經熄滅了。	There, the lamp is out - the lamp is extinguished.	Voilà la lampe éteinte - la lampe se trouve éteinte.	MXENG
Phngi ka harung namu da.	把你們的燈籠熄掉。	Put out your lanterns.	Eteignez vos falots.	MXENG
Kingal nanak ka laqi mu! Ida bi ga mhhuni.	我的孩子很不對勁！也許他被下了咒！	My kid is acting all strange! Perhaps he is bewitched!	Mon gosse est tout drôle ! Peut-être est il ensorcelé !	MXOUNI
NSEEJIQ NII KA ASU.	這艘船是這個人的；N 已成為前綴。	The boat belongs to this person; the N has become a prefix.	Le bateau est à cette personne ; le N est devenu préfixe.	N
Nhiya	他的／屬於他。	His / to him.	A lui.	N
Ntama.	父親的／屬於父親。	The father's / to the father.	Au père.	N
Nbaraw.	來自上面的東西。	That which is from above.	Ce qui est d'en haut.	N
Mnita ku.	我在看／我以前看；。	I was seeing / I used to see;	Je voyais ;	N
Qntaan mu.	我所看見的；。	What I saw;	Ce que j'ai vu ;	N
Musa ku.	我去；。	I go / I am going;	Je vais ;	N
Mnusa ku.	我以前去／我去過；。	I was going / I went;	J'allais ;	N
Nusa mu.	我的行程，過去、已完成；。	My going, past, accomplished;	Mon aller, passé, réalisé ;	N
Pnsaan mu.	我所做的差遣。	The sending that I made.	L'envoi que j'ai fait.	N
Tama na.	他的父親；。	His/her father;	Son père ;	NA
Tama ku na.	我是他的父親；。	I am his father;	Je suis son père ;	NA
Biqun ta na.	他會給我們（對他而言，我們是他應該（想要）給予的對象）。	He will give to us (we are for him those to whom he must (wants to) give).	Il nous donnera (nous sommes pour lui ceux à qui il doit (veut) donner.	NA
Ini na.	還沒有。	Not yet.	Pas encore.	NA
Na, ini su kla da.	原來如此！你不知道！	So! You don't know!	Ainsi ! Tu ne sais pas !	NA
Ini su salu na.	你還沒蓋好嗎？	You haven't built yet?	Tu n'as pas encore bâti ?	NA
Nasi muutux tunux na o, na, ini na klai ka elug da.	如果他的頭腦錯亂了，那麼他就失去了理智（他不再認得路了）！	If his head is disturbed, then he has lost his good sense (he no longer knows the way)!	Si sa tête est dérangée, alors, il a perdu le bon sens (il ne sait plus la route) !	NA
Ini psrnabaw ka qhuni.	樹木沒有長出葉子。	The trees are not putting out leaves.	Les arbres n'émettent pas de feuilles.	NABAO
Mhdu su srsun ka nalaq o, rsuhi ka sapuh nii da.	把膿擦拭乾淨後，你就塗上這個藥。	After sponging off the pus, you will apply this medicine.	Après avoir épongé le pus, tu mettras ce médicament.	NALAQ
Aji mnalaq ka nangal su luqih hu?	你受的傷沒有化膿嗎？	Isn't the wound you gave yourself getting infected?	Est ce que la blessure que tu t'es faite ne s'infecte pas ?	NALAQ
Narat baga.	右手。	The right hand.	La main droite.	NALAT
Usa nquri narat.	往右邊走。	Go to the right.	Va vers la droite.	NALAT
Mknarat ka dyamu ni mkeiril ka yami da.	你們住在右邊，我們住在左邊。	You live on the right and we live on the left.	Vous êtes (habitez) sur la droite et nous nous habitons sur la gauche.	NALAT
Mnarux tunux mu da.	我很憂心 - 我頭痛（我的頭痛（？））。	I am worried - I have a headache (my head hurts (?)).	Je suis en souci - j'ai mal à la tête (ma tête à mal (?)).	NALOX
Ini knarux ka baga, hmut msdara nanak.	手不痛，只是流血而已！	The hand doesn't hurt me, it only bleeds!	La main ne me fait pas mal, elle ne fait que saigner !	NALOX
Wada mu shngiyan ka knnarux mu.	我已忘記自己當時有多痛了！	I have forgotten how much I was hurting!	J'ai oublié combien j'avais mal !	NALOX
Ana su miyah pknarux tunux mu o, aji ku bi alix.	即使你來讓我頭痛（打擾我），我也不會放棄。	Even if you come to give me a headache (to trouble me), I will not give up.	Même si tu viens me faire mal à la tête (me troubler), je ne lâcherai pas.	NALOX
Mnimah su tleetu qsiya skeeman o, kiya ka sknarux lhbun su.	你昨晚喝了冷水，這就是害你胃痛的原因。	You drank cold water last night, that is what is hurting your stomach.	Tu as bu de l'eau froide hier soir, voilà ce qui te fait mal à l'estomac.	NALOX
Nruan su seejiq snii o, nhuqil da.	最近代替你的那個人，他死了。	The person who replaced you recently, he has died.	La personne qui t'a remplacé dernièrement, elle est morte.	NALU
Usa nama ka isu, miyah ku kiya.	你先走；我隨後就來。	You, go ahead; I will come afterwards.	Toi, va devant ; je viendrai ensuite.	NAMA
Isu bi nanak, ungat ka mnama sunan.	你確實是唯一的一個，沒有人在你前面。	You really are the only one, there is no one ahead of you.	Tu est bien le seul, il n'y a personne qui te précède.	NAMA
Ga msnama daya kana ka lqlaqi.	所有的孩子都在上面做準備。	All the children are getting ready up there.	Tous les enfants se préparent là haut.	NAMA
Nduwa bi psnama kana ppajiq, ungat jiyax ta kiya.	把所有的菜好好地事先準備好，待會兒我們就沒時間了。	Prepare all the vegetables well in advance, we won't have time later.	Prépare bien tous les légumes en avance nous n'aurons pas le temps tout à l'heure.	NAMA
Wada psnama biyi dgiyaq ka tama su.	你父親上山去準備山中的小屋了。	Your father has gone to prepare the hut in the mountains.	Ton père est allé préparer la hutte en montagne.	NAMA
Pida bi psnmaan yyahan Cristu ka sida.	那正是預備基督降臨的時期（將臨期）。	It was precisely then the preparation for the coming of Christ (Advent).	C'était justement alors la préparation de la venue du Christ (l'avent).	NAMA
Tai ka npais nii o, wada knnama pgkla dhyaan.	至於這個敵人，他事先已通知他們（他事先已與他們達成協議）。	As for this enemy, he had warned them in advance (he had come to an agreement with them beforehand).	Quant à cet ennemi, il les avait prévenus d'avance (il s'était mis d'accord avec eux d'avance.	NAMA
Gnama su dha baga aji su tgsbut btunux ka qaqay su.	他們會伸出雙手準備接住，好使你的腳不致撞到石頭。（他們會用手接住你……）	They will hold their hands ready so that your foot does not strike the stones. (they will receive you in their hands.)	Ils tiendront prêtes leurs mains pour que ton pied ne heurte pas les pierres. (ils te recevront dans leurs mains.)	NAMA
Kingal nanak.	1) 單獨一個 - 只有一個；2) 特別的 - 奇怪的。	1) a single one - just one; 2) special - strange.	1) un seul - rien qu'un ; 2) Spécial - étrange.	NANAK
